,0
0,int_rate
1,annual_inc
2,inq_last_6mths
3,open_acc
4,pub_rec
5,revol_util
6,ever_delinq_dummy
7,public_record_ind
8,debt_consolidation
9,educational
10,home_improvement
11,moving
12,other
13,small_business
14,vacation
15,MORTGAGE
16,NONE
17,emp_length_1
18,emp_length_6
19,emp_length_7
20,emp_length_9
21,verification_status_Verified
22,median_est_income_hh
23,work_prop
24,magnitude_ann_inc_to_median
