sub_grade,adaboost_lr_pred,dtbag_pred,ensemble_pred,et_pred,logreg_l1_pred,logreg_l2_pred,rf_pred,svc_pred,returns,adaboost_lr_count,dtbag_count,ensemble_count,et count,logreg_l1_count,logreg_l2_count,rf_count,svc_count
E1,0.181315361146,0.161625829328,0.139437920156,0.165136129127,0.163175547169,0.159951236215,0.159516734213,0.173241324174,0.119218876005,68,82,96,80,79,76,82,76
E2,0.183093485705,0.141475754977,0.151493070531,0.172801505456,0.177362835403,0.168941739069,0.163085805308,0.162569184726,0.115281104483,61,71,79,67,65,61,67,66
E3,0.123120541522,0.115118339714,0.112988278502,0.138395946341,0.135199334575,0.145513474543,0.153868139149,0.112957834047,0.131466000142,37,46,58,43,42,45,43,45
E4,0.189505588318,0.175510344274,0.160739708491,0.18024097456,0.171663798471,0.171663798471,0.144524673937,0.180571286595,0.141987093524,30,34,39,33,31,31,34,34
E5,0.0990278003059,0.118229574969,0.128307168617,0.100732008168,0.171462003431,0.171462003431,0.107497095018,0.0920737859277,0.115860243066,22,26,29,22,20,20,25,21
