,roc_auc,predicted_default,actual_default,observed_default
svm,0.610060449955,0.378827321185,0.0428907896368,0.033526242267
et,0.596772755109,0.396491880501,0.0428907896368,0.0320427236315
lrl2,0.593830877878,0.444031238379,0.0428907896368,0.0319955406912
lrl1,0.593829614526,0.444155200198,0.0428907896368,0.032002676182
rf,0.591685473444,0.286103880005,0.0428907896368,0.0367251258899
voting,0.588770688079,0.0343994049833,0.0428907896368,0.0415944540728
dtbag,0.58819141812,0.274699392587,0.0428907896368,0.0371731327978
dt,0.56326928735,0.521383413909,0.0428907896368,0.0335405335405
adaboost,0.523890721424,0.104499814057,0.0428907896368,0.0424972314507
