,0
0,amnt_request
1,int_rate
2,delinq_2yrs
3,inq_last_6mths
4,open_acc
5,pub_rec
6,revol_bal
7,Risk_Score
8,ever_delinq_dummy
9,public_record_ind
10,derog_record_present
11,credit_card
12,home_improvement
13,other
14,small_business
15,vacation
16,wedding
17,emp_length_10
18,emp_length_2
19,emp_length_3
20,emp_length_7
21,emp_length_8
22,emp_length_n/a
23,median_est_income_hh
24,magnitude_ann_inc_to_median
