,0
0,amnt_request
1,int_rate
2,emp_length_2
3,inq_last_6mths
4,open_acc
5,revol_bal
6,emp_length_7
7,Risk_Score
8,emp_length_n/a
9,credit_card
10,wedding
11,magnitude_ann_inc_to_median
12,home_improvement
13,small_business
14,vacation
15,median_est_income_hh
16,emp_length_3
