,mean_cv_recall,mean_cv_roc_auc,test_roc_auc,pred_default_rate,act_default_rate,observed_default_rate
svm,0.575029577227,0.595236955499,0.593218669297,0.469529889727,0.120526213968,0.0886214442013
lr_l2,0.589885795688,0.591822566997,0.588777356348,0.474753337203,0.120526213968,0.0950276243094
lr_l1,0.589885795688,0.591823890921,0.588776473629,0.474753337203,0.120526213968,0.0950276243094
rf,0.372771245302,0.58272919552,0.586868917624,0.294447668795,0.120526213968,0.104195228955
et,0.541330049658,0.578410932989,0.575288702113,0.448636099826,0.120526213968,0.0989473684211
dt_bagged,0.195010905345,0.569508644778,0.573693628675,0.154768814084,0.120526213968,0.111467154955
voting_untuned,0.0401268400254,0.574324308369,0.56853395891,0.0266976204295,0.120526213968,0.118664281455
adaboost,0.0108361300915,0.543940034871,0.535941144527,0.00541690849294,0.120526213968,0.120599105232
dt,0.134032724083,0.50417945146,0.503207448172,0.11955890888,0.120526213968,0.119753900242
