,roc_auc,predicted_default,actual_default,observed_default
adaboost,0.533172892059,0.00376881179173,0.0952528459692,0.0950172311041
dt,0.502878258475,0.118098040734,0.0952528459692,0.0946903172931
dtbag,0.564253997172,0.124190092671,0.0952528459692,0.0899846734261
et,0.567508828716,0.458323653166,0.0952528459692,0.0782500953107
lrl1,0.575680539695,0.447249541805,0.0952528459692,0.0773828982394
lrl2,0.575679546119,0.447197914247,0.0952528459692,0.0773756712585
rf,0.573828544799,0.253930147913,0.0952528459692,0.0856342121652
svm,0.575778300623,0.467461731072,0.0952528459692,0.0771206980126
voting,0.56446940988,0.0187149900617,0.0952528459692,0.0948071763035
