,mean_cv_recall,mean_cv_roc_auc,test_roc_auc,pred_default_rate,act_default_rate,observed_default_rate
svm,0.609458566345,0.591959296881,0.588633889447,0.5,0.205985915493,0.160798122066
lr_l2,0.605887137773,0.581013747475,0.58595965913,0.49765258216,0.205985915493,0.165887850467
lr_l1,0.605887137773,0.581014404671,0.585951236358,0.49823943662,0.205985915493,0.166081871345
voting_untuned,0.145396542959,0.589128730539,0.568433974938,0.111502347418,0.205985915493,0.194848084544
et,0.583042704626,0.567694884717,0.563827771145,0.510563380282,0.205985915493,0.178657074341
rf,0.546723436706,0.582592302142,0.55989960055,0.463028169014,0.205985915493,0.177049180328
dt_bagged,0.563088459583,0.585471902114,0.549247951687,0.480046948357,0.205985915493,0.179458239278
dt,0.618604473818,0.560094608819,0.535952605058,0.461854460094,0.205985915493,0.193020719738
adaboost,0.146817488561,0.537738783737,0.526145339153,0.128521126761,0.205985915493,0.202693602694
