year,State,loan_status,frequency
2007,AL,0,0.888888888889
2007,AL,3,0.111111111111
2007,AR,0,0.666666666667
2007,AR,3,0.333333333333
2007,AZ,0,0.571428571429
2007,AZ,3,0.428571428571
2007,CA,0,0.571428571429
2007,CA,3,0.428571428571
2007,CO,0,0.789473684211
2007,CO,3,0.210526315789
2007,CT,0,0.833333333333
2007,CT,3,0.166666666667
2007,DC,0,1.0
2007,DE,0,1.0
2007,FL,0,0.611764705882
2007,FL,3,0.388235294118
2007,GA,0,0.648648648649
2007,GA,3,0.351351351351
2007,IL,0,0.666666666667
2007,IL,3,0.333333333333
2007,IN,0,0.631578947368
2007,IN,3,0.368421052632
2007,KS,0,1.0
2007,KY,0,1.0
2007,LA,0,0.875
2007,LA,3,0.125
2007,MA,0,0.865384615385
2007,MA,3,0.134615384615
2007,MD,0,0.521739130435
2007,MD,3,0.478260869565
2007,ME,0,1.0
2007,MO,0,0.5
2007,MO,3,0.5
2007,MT,3,1.0
2007,NC,0,0.69696969697
2007,NC,3,0.30303030303
2007,NE,0,0.5
2007,NE,3,0.5
2007,NH,0,1.0
2007,NJ,0,0.777777777778
2007,NJ,3,0.222222222222
2007,NM,0,1.0
2007,NV,3,1.0
2007,NY,0,0.782178217822
2007,NY,3,0.217821782178
2007,OH,0,1.0
2007,SC,0,0.833333333333
2007,SC,3,0.166666666667
2007,SD,0,1.0
2007,TN,0,1.0
2007,TX,0,0.8
2007,TX,3,0.2
2007,UT,0,0.888888888889
2007,UT,3,0.111111111111
2007,VA,0,0.9
2007,VA,3,0.1
2007,VT,0,1.0
2007,WA,0,0.916666666667
2007,WA,3,0.0833333333333
2007,WI,0,1.0
2007,WY,0,1.0
2008,AK,0,0.8
2008,AK,3,0.2
2008,AL,0,0.75
2008,AL,3,0.25
2008,AR,0,0.75
2008,AR,3,0.25
2008,AZ,0,0.716981132075
2008,AZ,3,0.283018867925
2008,CA,0,0.756578947368
2008,CA,3,0.243421052632
2008,CO,0,0.80303030303
2008,CO,3,0.19696969697
2008,CT,0,0.809523809524
2008,CT,3,0.190476190476
2008,DC,0,0.636363636364
2008,DC,3,0.363636363636
2008,DE,0,0.625
2008,DE,3,0.375
2008,FL,0,0.672839506173
2008,FL,3,0.327160493827
2008,GA,0,0.715789473684
2008,GA,3,0.284210526316
2008,HI,0,0.818181818182
2008,HI,3,0.181818181818
2008,IA,0,0.818181818182
2008,IA,3,0.181818181818
2008,ID,0,0.888888888889
2008,ID,3,0.111111111111
2008,IL,0,0.789473684211
2008,IL,3,0.210526315789
2008,KS,0,0.884615384615
2008,KS,3,0.115384615385
2008,KY,0,0.857142857143
2008,KY,3,0.142857142857
2008,LA,0,0.947368421053
2008,LA,3,0.0526315789474
2008,MA,0,0.861538461538
2008,MA,3,0.138461538462
2008,MD,0,0.806451612903
2008,MD,3,0.193548387097
2008,MI,0,0.811320754717
2008,MI,3,0.188679245283
2008,MN,0,0.868421052632
2008,MN,3,0.131578947368
2008,MO,0,0.894736842105
2008,MO,3,0.105263157895
2008,MS,0,0.666666666667
2008,MS,3,0.333333333333
2008,MT,0,0.8
2008,MT,3,0.2
2008,NC,0,0.826086956522
2008,NC,3,0.173913043478
2008,NE,3,0.666666666667
2008,NE,0,0.333333333333
2008,NH,0,0.727272727273
2008,NH,3,0.272727272727
2008,NJ,0,0.863157894737
2008,NJ,3,0.136842105263
2008,NM,0,0.933333333333
2008,NM,3,0.0666666666667
