,mean_cv_recall,mean_cv_roc_auc,test_roc_auc,pred_default_rate,act_default_rate,observed_default_rate
lr_l1,0.51052855925,0.561625894214,0.600285947712,0.399463806971,0.227882037534,0.183035714286
lr_l2,0.51052855925,0.561727640016,0.600285947712,0.399463806971,0.227882037534,0.183035714286
adaboost,0.507587382779,0.560974832277,0.599550653595,0.396782841823,0.227882037534,0.182222222222
rf,0.308184143223,0.551248934356,0.598406862745,0.28418230563,0.227882037534,0.205992509363
svm,0.48094629156,0.584757403907,0.598243464052,0.391420911528,0.227882037534,0.202643171806
voting_untuned,0.134910485934,0.556880722043,0.584844771242,0.112600536193,0.227882037534,0.226586102719
dt_bagged,0.313853367434,0.544276103636,0.570016339869,0.319034852547,0.227882037534,0.208661417323
et,0.487169650469,0.551826420549,0.565318627451,0.412868632708,0.227882037534,0.196347031963
dt,0.43768115942,0.526892861114,0.525551470588,0.485254691689,0.227882037534,0.213541666667
