,roc_auc,predicted_default,actual_default,observed_default
svm,0.510400801185,0.648434925865,0.229654036244,0.226804123711
rf,0.503759237009,0.0158154859967,0.229654036244,0.229661868095
et,0.498871185688,0.44942339374,0.229654036244,0.233393177738
lrl1,0.498167325934,0.0378912685338,0.229654036244,0.227397260274
dtbag,0.496675842821,0.392751235585,0.229654036244,0.229517091698
voting,0.491769688743,0.11334431631,0.229654036244,0.2292827945
dt,0.490423027689,0.538385502471,0.229654036244,0.239114917916
lrl2,0.488080101326,0.637891268534,0.229654036244,0.237488626024
adaboost,0.487608815981,0.632289950577,0.229654036244,0.240143369176
